text,label
No thanks. I don't like free things...,1
I don't feel lucky,1
I don't want to save money,1
"No, I'll rather pay full price.",1
"No thanks, I'll pay full price",1
I'll Shop Without A Discount,1
"NO THANKS, I DON""T MIND MISSING OUT",1
I do not want to protect my item,1
No thanks I definitely measured correctly,1
"Before you check out, can we tempt you?",1
"No thanks, I dont want a discount",1
"No thanks, I'd rather pay full price.",1
No thanks. I don't want deals.,1
"NO, I'LL PAY FULL PRICE",1
"No thanks, I don't like fun and games.",1
"No, thank you. I prefer to pay the full price",1
"No Thanks, I don't like exclusive deals.",1
"No thanks, I'd like 0% off",1
Uncheck the box if you prefer not to receive email updates.,1
"No Thanks, I Don't Want a Free Gift",1
"No Thanks, I Prefer Paying Full Price",1
"No thanks, I don't like promotions and exclusive content.",1
"No Thanks, I'll Pay Full Price",1
"No thanks, I don't like discounts",1
No thanks. I'd rather pay full price.,1
"no thanks, I'll save money another day",1
"No Thanks, I rather pay full price",1
"NO THANKS, I'll PAY FULL PRICE",1
"No Thanks, I Don't Want a Discount",1
I'd rather pay full price,1
"No, I don't want a discount",1
"No thanks, I don't want the free gift.",1
"[NO THANKS, I'LL JUST WALK]",1
"NO, I DON'T FEEL LUCKY",1
I'D RATHER PAY FULL PRICE,1
No thanks - I don't want to save money,1
Add on something to make it extra special!,1
Other Items On Special Offer:,1
"NO THANKS, I DON'T WANT TO SAVE",1
I Don't Like to Save Money,1
I'LL PAY FULL PRICE,1
"No thanks, I'd rather not win.",1
I'd rather not save,1
"no thanks, I hate fun & games",1
Protect Your Gear,1
"No thanks, I'm not interested in saving money.",1
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,1
Competitor Price: $172.00,1
"No thanks, I'd rather pay more",1
"No thanks, I don't want 15% off",1
Spin to unlock your mystery offer,1
"No thanks, I'll be the last to know.",1
"No Thanks, I'll let this offer sail away",1
"No thank you, I prefer to pay full price",1
No thanks. I prefer paying full price.,1
"I DON'T LIKE FREE GIFTS, NO THANKS",1
"No, I'd rather pay full price.",1
"No Thanks, I don't want a discount",1
"No Thanks, I prefer paying full price.",1
"No Thanks, I Don't Like Exclusive Offers.",1
"No thanks, I hate cool stuff",1
Score! You've Qualified for a Checkout Bonus,1
"No thanks, I don't like FREE stuff.",1
"No thanks, I just want the item",1
"No thanks, I don't like deals.",1
How about one of these hot sellers?,1
"No thanks, I don't want a free gift.",1
"NO, I'D RATHER PAY FULL PRICE",1
"No, I don't feel lucky",1
"No thanks, I like full price",1
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",1
"no thanks, I don't like to save",1
"No, I don't feel lucky.",1
Let's make sure you have everything else you need,1
"""Your purchase entitles you to the following special""",1
"No thanks, I despise coupons!",1
"Nice choice. Did you know you've missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",1
"No thanks, I don't like saving money",1
"No Thanks, I'd Rather Pay Full Price",1
"No thanks, I hate saving money",1
"No thanks, I don't like winning.",1
"No Thanks, I'd rather pay full price",1
"No Thanks, I don't like free stuff.",1
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",1
"No thanks, I don't want any deals",1
"NO, THANKS. I DON'T LIKE DISCOUNTS ",1
"No thanks, I'd rather pay full price.",1
"No thanks, I've got too much cool Glock stuff!",1
"No thanks, free stuff isn't for me.",1
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",1
"No thanks, I don't want to build one.. I'd rather kick rocks!",1
"Nah, I like paying full price",1
"No thanks, I don't like getting free stuff.",1
"No thank you, I prefer to pay for shipping.",1
"No thanks, I don't like exclusive offers",1
"No thanks, I'll just pay full price.",1
"No, I'd rather do it the hard way...",1
"No thanks, I don't like free stuff",1
"No thanks, I don't like winning",1
"No, I Don't Like Discounts",1
"No, thanks. I'd prefer not to save.",1
Order without free membership $69.95,1
"No thanks, I'll still want to pay full price",1
"No thanks, I'm not interested",1
"No Thanks, I Don't Want To Save",1
"No thanks, I want to pay full price",1
"Yes, I Want To Save Money!No Thanks",1
"NO THANKS, I DON'T WANT 15% OFF",1
"No thanks, I don't like to save",1
"No, I don't want great deals.",1
Limited-time Offer: Bundle a base and get 20% off,1
This offer is only VALID if you add to cart now!,1
Would you like to purchase an Extended Protection Plan?,1
"NO THANKS, I'D RATHER PAY FULL PRICE",1
"No Thanks, I Don't Like Saving Money.",1
Professional Color Tool Kit / Addons,1
"Nah, I'll pay full price",1
"No Thanks, I like paying full price.",1
"No thanks, I'll pay full price!",1
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",1
"No thanks, I don't like savings",1
"No thanks, I prefer to pay more for shoes!",1
NO THANKS,1
"NO THANKS, I DON'T WANT TO SAVE MONEY",1
"No thanks, I don't want to save up to 75%",1
"No thanks, I want to pay the full price.",1
"No thanks, I prefer to pay full price.",1
How about these?,1
"No, thanks, IÂ´d rather pay more",1
I don't want a discount,1
"No, thanks. I don't like great deals.",1
"THE COMPETITION $1,299.99",1
"No thanks, Iâll skip this amazing super-saver deal. I don't need so many beautiful textures",1
"No thanks, I don't want to save",1
"No thanks, I will pay full price.",1
Personalize your doll,1
"No thanks, I don't want to look my best",1
I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,1
"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",1
No thanks. I don't want to save money.,1
Want to add one of these?,1
FANSTASTIC DEALS,1
GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,1
Want Free Shipping?,1
"No thanks, I don't like saving money.",1
No I don't feel lucky,1
"NO THANKS, I DON'T LIKE FREE STUFF",1
"No thanks, I don't like good deals.",1
"No thanks, I don't want discount",1
Would you like to buy more and save more?,1
"No Thanks, I Prefer Paying Full Price.",1
I don't like discounts,1
"no thanks, I like paying full price",1
Grab yourself a bargain!,1
"No Thanks, I prefer not to have a protection plan",1
People also buy this with,1
"No, thanks. I'd rather pay full price.",1
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,1
Yes! Upgrade my purchase,1
No I'd rather not hear about exclusive offers and discounts.,1
"No thanks, I'd rather pay more",1
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,1
No thanks! I don't like deals,1
No thanks. I love chaos!,1
"No thanks, I like paying full price",1
"No Thanks, I don't want official software at the best price.",1
Are you sure you want to cancel your subscription?,0
You¡¯re about to cancel your subscription. Please confirm.,0
"To confirm, you want to cancel your subscription, right?",0
Please confirm your cancellation request. You can always come back anytime.,0
Click below to cancel your subscription. Are you sure?,0
Please confirm that you¡¯d like to cancel your subscription.,0
Cancel,0
Are you sure you want to unsubscribe? You can always resubscribe later.,0
You¡¯re about to unsubscribe. Please confirm your decision.,0
"If you choose to cancel, you¡¯ll no longer receive updates. Are you sure?",0
Click here to cancel your subscription.,0
Your subscription has been successfully canceled.,0
You have unsubscribed from our service.,0
Your request to cancel has been processed.,0
Subscription cancellation completed.,0
You will no longer be charged for this service.,0
Your membership has been terminated as requested.,0
Unsubscribe request received.,0
Your account has been downgraded.,0
You have opted out of our subscription plan.,0
Cancellation confirmed.,0
Your subscription has been ended.,0
You will not be billed for the next cycle.,0
Your recurring payments have been stopped.,0
You have successfully opted out.,0
Subscription status: Canceled.,0
Your auto-renewal has been turned off.,0
The service has been deactivated.,0
Your cancellation has been recorded.,0
You are no longer subscribed to this service.,0
Subscription successfully ended.,0
Your access will expire at the end of the billing period.,0
Cancellation request processed.,0
Your subscription settings have been updated.,0
You have left the subscription program.,0
Unsubscription completed.,0
The subscription has been removed from your account.,0
Your premium access has been revoked.,0
Your billing has been stopped.,0
Your user account is no longer subscribed.,0
The service has been canceled per your request.,0
Membership has been deactivated.,0
No further charges will be made.,0
You have successfully left the program.,0
Subscription status: Terminated.,0
Your subscription cancellation is now effective.,0
You will no longer receive subscription benefits.,0
This subscription will not renew.,0
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",0
Your membership plan has been closed.,0
The account has been updated to reflect cancellation.,0
Your recurring subscription has ended.,0
You have chosen to stop your subscription.,0
You have exited the subscription service.,0
Cancellation has been finalized.,0
Your payment plan has been discontinued.,0
We have processed your unsubscribe request.,0
The subscription period has ended.,0
Your opt-out request has been acknowledged.,0
The cancellation process is complete.,0
Your account is no longer set to renew.,0